time,cl,ticker,current price,target_price,rsi
2021-07-15 14:51:18,buy,KRW-MANA,839.0,707.0,27.730257251776052
2021-07-15 14:55:46,buy,KRW-ENJ,1605.0,1352.5,29.752849617794723
2021-07-15 15:04:25,buy,KRW-SAND,725.0,482.0,26.91556576787532
2021-07-18 11:02:38,buy,KRW-STRK,44410.0,43545.0,29.499982327060266
2021-07-18 11:15:04,buy,KRW-CVC,252.0,244.5,28.033425698168344
2021-07-18 11:49:05,buy,KRW-KAVA,4610.0,4425.0,27.684074615735895
2021-07-18 11:55:14,buy,KRW-KAVA,4605.0,4425.0,23.84325255893586
2021-07-18 12:04:10,buy,KRW-SAND,586.0,531.5,26.9092624771244
2021-07-18 12:15:10,buy,KRW-ETC,50140.0,48545.0,24.804739451249574
2021-07-18 12:19:29,buy,KRW-QTUM,6810.0,6547.5,27.711841461064168
2021-07-18 17:00:46,buy,KRW-BTG,44940.0,43985.0,27.479228313143523
2021-07-19 09:04:51,sell,KRW-BTG,46320.0,44940.0,43.82627644459049
2021-07-23 12:38:18,buy,KRW-STPT,46.6,45.3,27.63513852705323
2021-07-23 17:58:25,buy,KRW-ETH,2398000.0,2370500.0,27.111021891388347
2021-07-24 08:52:56,sell,KRW-ETH,2473000.0,2400000.0,42.65585435921557
2021-07-24 10:07:22,buy,KRW-AXS,46030.0,33970.0,28.505024648855965
2021-07-24 10:12:38,buy,KRW-LOOM,64.6,64.19999999999999,27.844530283408503
2021-07-24 19:19:45,sell,KRW-LOOM,66.7,64.7,38.41783983498284
2021-07-24 20:24:52,buy,KRW-DAWN,4300.0,3080.0,29.39347707296598
2021-07-24 22:01:48,sell,KRW-DAWN,4430.0,4300.0,45.20593184738112
2021-07-24 22:51:46,buy,KRW-GAS,7815.0,6807.5,27.896076747728728
2021-07-25 09:28:16,buy,KRW-DOT,15950.0,15600.0,28.456470909917215
2021-07-25 09:43:24,buy,KRW-ETH,2522000.0,2492000.0,24.641631607925035
2021-07-25 23:25:27,buy,KRW-REP,34570.0,27195.0,29.053718283935183
2021-07-25 23:54:54,sell,KRW-REP,35650.0,34583.27,38.569565931362284
2021-07-26 01:53:30,buy,KRW-STRAX,1800.0,1747.5,24.713458662769185
2021-07-26 07:19:39,sell,KRW-STRAX,1855.0,1800.0,38.564043093157416
2021-07-26 07:42:02,buy,KRW-THETA,7140.0,6650.0,27.97420660680548
2021-07-26 09:02:29,buy,KRW-ETH,2519000.0,2518500.0,25.151819881231972
2021-07-26 09:44:53,sell,KRW-ETH,2596000.0,2519000.0,41.735792983447396
2021-07-26 10:08:04,buy,KRW-ENJ,1535.0,1487.5,28.644398773190048
2021-07-26 10:36:33,sell,KRW-ENJ,1590.0,1540.0,39.22865953175829
2021-07-26 11:08:53,buy,KRW-ENJ,1560.0,1472.5,28.907158377766024
2021-07-26 11:50:46,sell,KRW-ENJ,1615.0,1565.0,37.92828855079319
2021-07-26 12:07:45,buy,KRW-BCHA,33290.0,32025.0,25.97227896714361
2021-07-26 15:28:41,sell,KRW-BCHA,34230.0,33200.0,40.092154417209194
2021-07-26 15:48:44,buy,KRW-LSK,3070.0,2960.0,26.04864675365029
2021-07-26 16:51:27,buy,KRW-STPT,50.9,48.900000000000006,28.137131530081263
2021-07-26 21:16:56,sell,KRW-STPT,52.6,51.0,43.80085568189415
2021-07-26 23:33:12,buy,KRW-XTZ,3420.0,3240.0,28.276011530979588
2021-07-27 08:53:07,sell,KRW-XTZ,3295.0,3430.0,36.88131590513156
2021-07-27 09:08:13,buy,KRW-STMX,21.1,20.75,36.081305408320326
2021-07-27 09:11:09,buy,KRW-STMX,20.8,20.75,33.57017101047258
2021-07-27 09:14:30,sell,KRW-STMX,20.6,21.03,30.19507366476688
2021-07-27 09:18:41,buy,KRW-POLY,270.0,266.0,38.69095306189585
2021-07-27 09:20:28,buy,KRW-ELF,232.0,230.0,35.79228811555876
2021-07-27 09:26:22,sell,KRW-POLY,279.0,270.0,59.03908507968034
2021-07-27 09:55:54,buy,KRW-ANKR,80.8,78.1,36.024550976592025
2021-07-27 10:12:49,buy,KRW-KAVA,5860.0,5665.0,33.523447573997345
2021-07-27 10:13:35,buy,KRW-STEEM,487.0,462.0,37.96595696948878
2021-07-27 10:14:26,buy,KRW-GRS,766.0,752.0,37.94882054013547
2021-07-27 10:15:14,buy,KRW-ARDR,180.0,175.0,37.40828798622774
2021-07-27 10:16:02,buy,KRW-ARDR,179.0,175.0,37.40828798622774
2021-07-27 10:17:40,buy,KRW-ONG,853.0,845.5,34.192257957755004
2021-07-27 10:18:29,sell,KRW-ANKR,79.6,81.3,25.113767008707484
2021-07-27 10:19:20,buy,KRW-ONG,847.0,845.5,27.19098798235288
2021-07-27 10:19:56,sell,KRW-GRS,751.0,769.0,29.687942839179613
2021-07-27 10:20:09,buy,KRW-ARDR,178.0,175.0,35.35769474512989
2021-07-27 10:20:31,sell,KRW-STEEM,476.0,486.0,31.39430463867187
2021-07-27 10:20:58,buy,KRW-STORJ,1070.0,1040.0,36.899865047475295
2021-07-27 10:21:46,buy,KRW-STEEM,478.0,462.0,34.26158396556997
2021-07-27 10:22:42,buy,KRW-POWR,216.0,214.5,30.070085017705935
2021-07-27 10:23:57,buy,KRW-POLY,270.0,263.5,20.686050482416093
2021-07-27 10:25:10,buy,KRW-POLY,270.0,263.5,20.686050482416093
2021-07-27 10:25:18,sell,KRW-STEEM,470.0,480.0,29.800618051671407
2021-07-27 10:25:49,sell,KRW-KAVA,5750.0,5870.0,33.628308743749685
2021-07-27 10:27:39,buy,KRW-POLY,270.0,263.5,20.686052275585837
2021-07-27 10:36:22,sell,KRW-ARDR,185.0,179.0,70.06162184316577
2021-07-27 10:41:53,sell,KRW-POLY,264.0,271.0,25.008219077626165
2021-07-27 11:44:14,buy,KRW-STPT,51.8,51.400000000000006,28.081737763185515
2021-07-27 11:52:33,sell,KRW-STORJ,1050.0,1075.0,40.33340102214412
2021-07-27 11:53:04,sell,KRW-STPT,50.9,52.0,13.972852266053252
2021-07-27 15:28:28,sell,KRW-ELF,240.0,233.0,66.76188697405836
2021-07-27 15:28:32,buy,KRW-CVC,351.0,267.0,28.82725608347586
2021-07-27 15:31:01,buy,KRW-WAXP,200.0,160.5,29.293074108287556
2021-07-27 15:37:15,sell,KRW-WAXP,196.0,200.0,23.893436583589178
2021-07-27 15:40:57,sell,KRW-CVC,344.0,352.0,24.34516870414639
2021-07-27 15:42:41,buy,KRW-WAXP,196.0,160.5,26.750829519086352
2021-07-27 15:48:09,buy,KRW-STORJ,1055.0,1032.5,26.829550108971702
2021-07-27 15:48:33,sell,KRW-WAXP,192.0,196.0,23.527037223992934
2021-07-27 15:49:27,buy,KRW-LOOM,76.9,69.15,20.947645634536755
2021-07-27 15:50:14,buy,KRW-STEEM,483.0,464.0,28.1138028383546
